Age, Male Annual Mortality , Female Annual Mortality , Couple Annual Mortality ,Male Median Life Expectancy, Female Median Life Expectancy ,Couples Life Expectancy, Men Alive ,Women Alive, Couples at Least One Alive ,P(A Alive),P(B Alive),P(A Dead),P(B Alive), P(At least one Alive) ,,,,,,,,,,,,, Milevsky ,,,,,
76,0.04173,0.02937,0.87672,10.3,12.11,0.89389,"60,904","72,860","89,389",0.61,0.73,0.39,0.27,0.8939,"9,149.05",162,0.016171458,0.101266082,0.31969,"60,980",755,31,277,0.27668,11,76,0.6678,0.9583,0.7544,"60,904","53,914",
77,0.04593,0.03252,0.85846,9.72,11.46,0.87809,"58,363","70,721","87,809",0.58,0.71,0.42,0.29,0.8781,"8,987.34",185,0.018464121,0.119730203,0.36562,"58,440",723,33,310,0.30985,12,77,0.6438,0.9541,0.7229,"58,363","51,972",
78,0.05047,0.03587,0.83779,9.17,10.83,0.86005,"55,682","68,421","86,005",0.56,0.68,0.44,0.32,0.86,"8,802.70",209,0.020920545,0.140650748,0.41609,"55,760",690,35,345,0.34462,13,78,0.6206,0.9495,0.6897,"55,682","50,099",
79,0.05547,0.03956,0.81455,8.63,10.21,0.83961,"52,872","65,967","83,961",0.53,0.66,0.47,0.34,0.8396,"8,593.49",236,0.023591906,0.164242654,0.47156,"52,951",655,36,381,0.38091,14,79,0.5982,0.9445,0.6549,"52,872","48,294",
80,0.06118,0.04383,0.78854,8.1,9.61,0.81656,"49,939","63,357","81,656",0.5,0.63,0.5,0.37,0.8166,"8,357.57",265,0.02654985,0.190792504,0.53274,"50,019",619,38,419,0.41871,15,80,0.5767,0.9388,0.6186,"49,939","46,553",
81,0.0677,0.04881,0.75953,7.6,9.03,0.79062,"46,884","60,580","79,062",0.47,0.61,0.53,0.39,0.7906,"8,092.07",298,0.029835317,0.220627821,0.60044,"46,965",581,39,458,0.45798,16,81,0.5559,0.9323,0.5808,"46,884","44,876",
82,0.07492,0.05443,0.72726,7.11,8.47,0.76147,"43,710","57,624","76,147",0.44,0.58,0.56,0.42,0.7615,"7,793.72",333,0.033335722,0.253963543,0.67536,"43,792",542,41,499,0.49850,17,82,0.5359,0.9251,0.5414,"43,710","43,259",
83,0.08289,0.06076,0.69163,6.65,7.93,0.7289,"40,435","54,487","72,890",0.4,0.54,0.6,0.46,0.7289,"7,460.36",369,0.036928242,0.290891784,0.75825,"40,518",501,41,540,0.53997,18,83,0.5165,0.9171,0.5009,"40,435","41,700",
84,0.09173,0.06789,0.65258,6.21,7.41,0.69282,"37,084","51,176","69,282",0.37,0.51,0.63,0.49,0.6928,"7,091.08",406,0.040582173,0.331473957,0.84998,"37,168",460,42,582,0.58206,19,84,0.4979,0.9083,0.4594,"37,084","40,197",
85,0.10158,0.07593,0.61019,5.78,6.91,0.65317,"33,682","47,702","65,317",0.34,0.48,0.66,0.52,0.6532,"6,685.26",442,0.044164458,0.375638414,0.95156,"33,767",418,42,624,0.62439,20,85,0.48,0.8984,0.4172,"33,682","38,749",
86,0.11257,0.08497,0.56471,5.38,6.44,0.61002,"30,261","44,080","61,002",0.3,0.44,0.7,0.56,0.61,"6,243.62",475,0.047542041,0.423180455,1.06413,"30,347",376,42,667,0.66655,21,86,0.4627,0.8874,0.3748,"30,261","37,352",
87,0.1248,0.09509,0.51653,5,5.99,0.56357,"26,854","40,335","56,357",0.27,0.4,0.73,0.6,0.5636,"5,768.20",505,0.05048975,0.473670205,1.18893,"26,941",333,41,708,0.70801,22,87,0.446,0.8752,0.3326,"26,854","36,006",
88,0.13831,0.10635,0.46624,4.64,5.56,0.51424,"23,503","36,499","51,424",0.24,0.36,0.76,0.64,0.5142,"5,263.30",528,0.052813117,0.526483322,1.32724,"23,591",292,40,748,0.74822,23,88,0.4299,0.8617,0.2911,"23,503","34,709",
89,0.15311,0.11878,0.41465,4.3,5.17,0.46264,"20,253","32,617","46,264",0.2,0.33,0.8,0.67,0.4626,"4,735.17",542,0.054235796,0.580719118,1.48035,"20,342",252,38,787,0.78659,24,89,0.4145,0.8469,0.2509,"20,253","33,458",
90,0.1692,0.13238,0.36272,3.99,4.8,0.40965,"17,152","28,743","40,965",0.17,0.29,0.83,0.71,0.4097,"4,192.81",546,0.054563319,0.635282438,1.64955,"17,242",213,36,822,0.82250,25,90,0.3995,0.8308,0.2125,"17,152","32,253",
91,0.18654,0.14718,0.31155,3.7,4.45,0.35634,"14,250","24,938","35,634",0.14,0.25,0.86,0.75,0.3563,"3,647.18",536,0.05362169,0.688904128,1.83609,"14,341",178,33,855,0.85539,26,91,0.3851,0.8135,0.1765,"14,250","31,090",
92,0.20512,0.16316,0.26231,3.44,4.13,0.30395,"11,592","21,268","30,395",0.12,0.21,0.88,0.79,0.3039,"3,110.96",514,0.051410909,0.740315036,2.04121,"11,684",145,29,885,0.88481,27,92,0.3712,0.7949,0.1436,"11,592","29,970",
93,0.22487,0.18031,0.21608,3.2,3.84,0.25372,"9,214","17,798","25,372",0.09,0.18,0.91,0.82,0.2537,"2,596.85",479,0.04794121,0.788256246,2.26608,"9,307",115,26,910,0.91044,28,93,0.3579,0.7751,0.1141,"9,214","28,890",
94,0.24574,0.19862,0.17387,2.98,3.58,0.20688,"7,142","14,588","20,688",0.07,0.15,0.93,0.85,0.2069,"2,117.44",434,0.043396825,0.831653071,2.51182,"7,236",90,22,932,0.93215,29,94,0.345,0.7543,0.0885,"7,142","27,849",
95,0.26645,0.21713,0.1364,2.79,3.34,0.16448,"5,387","11,691","16,448",0.05,0.12,0.95,0.88,0.1645,"1,683.47",379,0.037921046,0.869574117,2.77827,"5,482",68,18,950,0.94990,30,95,0.3325,0.7335,0.0667,"5,387","26,845",
96,0.28663,0.23556,0.10425,2.62,3.13,0.12743,"3,952","9,153","12,743",0.04,0.09,0.96,0.91,0.1274,"1,304.26",320,0.031974453,0.901548571,3.0649,"4,048",50,14,964,0.96391,31,96,0.3206,0.7134,0.049,"3,952","25,878",
97,0.30587,0.2536,0.07763,2.47,2.94,0.09619,"2,819","6,997","9,619",0.03,0.07,0.97,0.93,0.0962,984.51,260,0.026017625,0.927566196,3.37077,"2,916",36,11,975,0.97456,32,97,0.309,0.6941,0.0349,"2,819","24,946",
98,0.32378,0.27092,0.05633,2.34,2.76,0.07077,"1,957","5,222","7,077",0.02,0.05,0.98,0.95,0.0708,724.34,204,0.020439495,0.948005691,3.69455,"2,055",25,8,982,0.98240,33,98,0.2979,0.6762,0.0242,"1,957","24,047",
99,0.33997,0.28718,0.03986,2.22,2.6,0.0508,"1,323","3,807","5,080",0.01,0.04,0.99,0.96,0.0508,519.94,155,0.015526647,0.963532338,4.03452,"1,422",18,6,988,0.98796,34,99,0.2871,0.66,0.0164,"1,323","23,180",
100,0.35697,0.30441,0.02754,2.1,2.45,0.03563,873,"2,714","3,563",0.01,0.03,0.99,0.97,0.0356,364.68,115,0.011504253,0.97503659,4.39149,973,12,4,992,0.99179,35,100,0.2768,0.643,0.0108,873,"22,345",
101,0.37482,0.32267,0.01853,1.99,2.31,0.02439,562,"1,888","2,439",0.01,0.02,0.99,0.98,0.0244,249.63,83,0.008321137,0.983357727,4.76631,663,8,3,994,0.99439,36,101,0.2668,0.6252,0.007,562,"21,540",
102,0.39356,0.34203,0.01213,1.88,2.17,0.01626,351,"1,279","1,626",0,0.01,1,0.99,0.0163,166.42,59,0.005874948,0.989232675,5.15987,453,6,2,996,0.99609,37,102,0.2572,0.6064,0.0043,351,"20,764",
103,0.41324,0.36256,0.0077,1.78,2.03,0.01052,213,841,"1,052",0,0.01,1,0.99,0.0105,107.67,40,0.004012159,0.993244834,5.57311,316,4,1,997,0.99717,38,103,0.2479,0.5868,0.0026,213,"20,015",
104,0.4339,0.38431,0.00474,1.68,1.91,0.0066,125,536,660,0,0.01,1,0.99,0.0066,67.55,27,0.002650891,0.995895725,6.00701,229,3,1,998,0.99782,39,104,0.239,0.5661,0.0015,125,"19,294",
105,0.4556,0.40737,0.0028,1.59,1.79,0.00401,71,330,401,0,0,1,1,0.004,41.04,17,0.001699027,0.997594751,6.46261,176,2,0,998,0.99821,40,105,0.2304,0.5444,0.0009,71,"18,599",
106,0.47838,0.43181,0.0016,1.5,1.67,0.00235,39,196,235,0,0,1,1,0.0023,24.05,11,0.00106445,0.998659202,6.94099,145,2,0,998,0.99843,41,106,0.2221,0.5216,0.0005,39,"17,929",
107,0.50229,0.45772,0.00088,1.41,1.56,0.00131,20,111,131,0,0,1,1,0.0013,13.41,6,0.000624341,0.999283543,7.44328,127,2,0,999,0.99854,42,107,0.2141,0.4977,0.0002,20,"17,283",
108,0.52741,0.48518,0.00045,1.32,1.45,0.0007,10,60,70,0,0,1,1,0.0007,7.16,3,0.000347993,0.999631536,7.97069,118,1,0,999,0.99859,43,108,0.2064,0.4726,0.0001,10,"16,660",
109,0.55378,0.51429,0.00022,1.24,1.35,0.00036,5,31,36,0,0,1,1,0.0004,3.68,2,0.000194467,0.999826003,8.52447,114,1,0,999,0.99861,44,109,0.1989,0.4462,0.0001,5,"16,059",
110,0.58147,0.54515,0.0001,1.17,1.26,0.00017,2,15,17,0,0,1,1,0.0002,1.74,1,9.21E-05,0.999918119,9.10594,112,1,0,999,0.99861,45,110,0.1918,0.4185,0,2,"15,481",
111,0.61054,0.57786,0.00004,1.09,1.17,0.00008,1,7,8,0,0,1,1,0.0001,0.82,1,5.12E-05,0.999969295,9.71648,112,1,0,999,0.99861,46,111,0.1849,0.3895,0,1,"14,923",
112,0.64107,0.61253,0.00002,1.02,1.08,0.00003,0,3,3,0,0,1,1,0,0.31,0,2.05E-05,0.999989765,10.35755,112,1,0,999,0.99860,47,112,0.1782,0.3589, -   ,0,"14,385",
113,0.67312,0.64928,0.00001,0.95,1,0.00001,0,1,1,0,0,1,1,0,0.1,0,1.02E-05,1,11.03067,113,1,0,999,0.99859,48,113,0.1718,0.3269, -   ,0,"13,867",
114,0.70678,0.68824,0,0.89,0.92,0,0,0,0,0, -   ,1,1, -   , -   , -   ,0,1,11.73745,114,1,1,"1,000",1.00000,49,114,0.1656,0.2932, -   ,0,"13,367",
,,,,,,,,,,,,,,,,"10,000",,,,,,"1,000",,,50,,,,,,,
